bag model,8000,,,,9000,,,8835,,,8080,,,8008,,,MIX,,,,,,,lsc,,,,,,,,01 bag,,,,015 bag,,,,010 bag,,,,016 bag,,,,,099 bag,,,S50,,,,,,,,S36,,,,,,,,
,8000 black,8000 dark green,8000 blue,8000 grey,9000 black,9000 blue,9000 grey,8835 black,8835 blue,8835 grey,8080 black,8080 blue,8080 grey,8008 black,8008 blue,8008 grey,MIX black,MIX blue,mix grey,mix brown,mix pink,mix red,mix yellow,lsc1,lsc4,lsc6,lsc11,lsc7,lsc10,lsc16,lsc17,01 black,01 brown,01 blue,01 grey,015 black,015 brown,015 blue,015  grey,010 black,010 brown,010 blue,010 grey,016 black,016 red,016 blue,016 dark grey,016 silver,099 dark grey,099 light grey,099 blue,S50 black,S50 blue,S50 grey,S50 pink,S50 light green,S50 dark green,S50 green,S50 orange,S36 black,S36 blue,S36 dark blue,S36 dark grey,S36 dark red,S36 dark green,S36 green,S36 light grey,S36 purpl
jan,356,,334,169,,,,,,,,,,306,30,,,,,,,,,55,55,77,69,55,55,56,55,446,158,50,33,3,,,,,,,,,,,,,,51,,26,,228,165,,55,,,354,0,0,234,120,118,121,117,117
feb,,,,,,,,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
march,,,,,,,,403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
april,,,,,200,,,119,,,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378,370,418,84,27,400,142,280,,,,,,,,,
may,,,,,,,,,,,152,,,420,,,,,,,,,,,,,,,,,,495,194,145,326,,,,,,,,,,,,,,,,,216,104,164,134,61,10,23,103,,,,,,,,,
jun,461,,,269,,,,,,,102,,,,,,2001,149,544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,2,,,,,,,575,0,0,,,,,,
jul,,,,,,,,,,,87,183,,,,,183,59,12,,,,,,,,,,,,,,,,,,,,,507,93,328,172,188,198,50,197,149,181,84,185,,,,,,,,,,,,,,,,,
augst,,,,,,,,,,,,,,,,,,,,,,,,,139,136,137,134,103,96,114,287,,97,138,,,,,,,,,,,,,,14,19,17,,,,,,,,,,,,,,,,,
sept,,,,,,,,,,,,,,149,50,50,28,5,17,,,,,,,,,,,,,11,,3,,98,,97,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oct,,,,,198,97,98,,,,192,120,96,,,,,,,,,,,,,,,,,,,135,,,,99,197,97,98,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,
nov,,,,,,,,98,49,46,,,,97,,,789,273,434,,,,,,,,,,,,,,,,,569,19,256,178,,,,,,,,,,76,184,223,125,,100,,,,,,,,,,,,,,
dec,385,135,,259,535,,,,,,192,,,,,,380,1,1,,,,,,33,,28,,60,52,85,197,,320,101,,,,,,,,,,,,,,,,,150,,175,,,,,,,,,,,,,,
TOTAL COLOR,1202,135,334,697,933,97,98,717,49,46,924,303,96,972,80,50,3381,487,1008,0,0,0,0,55,227,213,234,189,218,204,254,1571,352,615,598,1200,216,450,374,507,93,328,172,188,198,50,197,149,271,338,425,1175,476,1085,383,88,465,165,383,929,0,0,234,120,118,121,117,117
TOTAL MODEL,2368,,,,1128,,,812,,,1323,,,1102,,,4876,,,,,,,1594,,,,,,,,3136,,,,2240,,,,1100,,,,782,,,,,1034,,,4220,,,,,,,,1756,,,,,,,,